Time,u1,y1,y2,x1,x2,x3
11810,14905954,14915315,1015.452026367188,14915271,0.7009657621383667,576.2992553710938
11820,14896636,14905997,1015.296264648438,14905954,0.7008458971977234,576.20068359375
11830,14887318,14896680,1015.140502929688,14896636,0.7007260322570801,576.1021118164063
11840,14878001,14887362,1014.984741210938,14887318,0.7006061673164368,576.0035400390625
11850,14868683,14878045,1014.828979492188,14878001,0.7004863023757935,575.905029296875
11860,14859366,14868727,1014.673217773438,14868683,0.7003663778305054,575.8064575195313
11870,14850048,14859409,1014.517456054688,14859366,0.7002465128898621,575.7078857421875
11880,14840731,14850092,1014.361694335938,14850048,0.7001266479492188,575.609375
11890,14831413,14840774,1014.205932617188,14840731,0.7000067830085754,575.5108032226563
11900,14822095,14831457,1014.050170898438,14831413,0.6998869180679321,575.4122314453125
11910,14812778,14822139,1013.894348144531,14822095,0.6997670531272888,575.313720703125
11920,14803460,14812822,1013.738586425781,14812778,0.6996471881866455,575.2151489257813
11930,14794143,14803504,1013.582763671875,14803460,0.6995273232460022,575.1165771484375
11940,14784825,14794186,1013.427001953125,14794143,0.6994074583053589,575.01806640625
11950,14775507,14784869,1013.271179199219,14784825,0.6992875337600708,574.9194946289063
11960,14766190,14775551,1013.115356445313,14775507,0.6991676688194275,574.8209228515625
11970,14756872,14766234,1012.959533691406,14766190,0.6990478038787842,574.722412109375
11980,14747555,14756916,1012.8037109375,14756872,0.6989279389381409,574.6238403320313
11990,14738237,14747598,1012.647888183594,14747555,0.6988080739974976,574.5252685546875
12000,14728920,14738281,1012.492065429688,14738237,0.6986882090568542,574.4267578125
12010,14719602,14728963,1012.336242675781,14728920,0.6985683441162109,574.3281860351563
12020,14710284,14719646,1012.180419921875,14719602,0.6984484791755676,574.2296142578125
12030,14700967,14710328,1012.024597167969,14710284,0.6983286142349243,574.131103515625
12040,14691649,14701010,1011.868713378906,14700967,0.698208749294281,574.0325317382813
12050,14682332,14691693,1011.712890625,14691649,0.6980888843536377,573.9339599609375
12060,14673014,14682375,1011.557006835938,14682332,0.6979690194129944,573.83544921875
